q_tag,path,title,summary,created-on,last-modified
63,https://www.zu.ac.ae/main/en/dl-F-cope-remote-working/index,How to Cope with Remote Working,nan,nan,nan
64,https://www.zu.ac.ae/main/en/dl-F-remote-working/index,Remote Working for Zayed University,nan,nan,nan
65,https://www.zu.ac.ae/main/en/dl-F-covid-19/index,Covid-19 Awareness,nan,nan,nan
66,https://www.zu.ac.ae/main/en/dl-F-cope-remote-working/faculty-home,Home,nan,nan,nan
67,https://www.zu.ac.ae/main/en/dl-F-covid-19/misconceptions,Misconceptions,nan,nan,nan
68,https://www.zu.ac.ae/main/en/dl-F-covid-19/procedures,Procedures,nan,nan,nan
69,https://www.zu.ac.ae/main/en/dl-F-covid-19/travel,Travel,nan,nan,nan
70,https://www.zu.ac.ae/main/en/dl-F-covid-19/precautions,Precautions,nan,nan,nan
71,https://www.zu.ac.ae/main/en/dl-F-covid-19/symptoms,Symptoms,nan,nan,nan
72,https://www.zu.ac.ae/main/en/dl-F-covid-19/index,Covid-19 Awareness,nan,nan,nan
73,https://www.zu.ac.ae/main/en/dl-F-covid-19/index,Covid-19 Awareness,nan,nan,nan
74,https://www.zu.ac.ae/main/en/distant_learning/blog,Blog,nan,nan,nan
75,https://www.zu.ac.ae/main/en/dl-F-precautionary/index,Precautionary Measures,nan,nan,nan
76,https://www.zu.ac.ae/main/en/dl-F-cope-remote-working/index,How to Cope with Remote Working,nan,nan,nan
77,https://www.zu.ac.ae/main/en/dl-F-remote-working/index,Remote Working for Zayed University,nan,nan,nan
78,https://www.zu.ac.ae/main/en/dl-F-covid-19/index,Covid-19 Awareness,nan,nan,nan
79,https://www.zu.ac.ae/main/en/dl-F-cope-remote-working/faculty-home,Home,nan,nan,nan
80,https://www.zu.ac.ae/main/en/dl-F-remote-working/health-authorities,Health Authorities,nan,nan,nan
81,https://www.zu.ac.ae/main/en/dl-F-remote-working/student-attendance,Student Attendance,nan,nan,nan
82,https://www.zu.ac.ae/main/en/dl-F-remote-working/reach-it,Reach the IT Department ,nan,nan,nan
83,https://www.zu.ac.ae/main/en/dl-F-remote-working/cei-support,CEI Support,nan,nan,nan
84,https://www.zu.ac.ae/main/en/dl-F-remote-working/online-teaching-software,Online Teaching Software,nan,nan,nan
85,https://www.zu.ac.ae/main/en/dl-F-remote-working/visiting-campus,Visiting Campus,nan,nan,nan
86,https://www.zu.ac.ae/main/en/dl-F-remote-working/remote-education,Remote Education,nan,nan,nan
87,https://www.zu.ac.ae/main/en/dl-F-remote-working/index,Remote Working for Zayed University,nan,nan,nan
88,https://www.zu.ac.ae/main/en/dl-F-remote-working/index,Remote Working for Zayed University,nan,nan,nan
89,https://www.zu.ac.ae/main/en/student-leadership-office/_unused/student-council,Student Council,nan,nan,nan
90,https://www.zu.ac.ae/main/en/student-leadership-office/Contact_Us,Contact Us,nan,nan,nan
91,https://www.zu.ac.ae/main/en/student-leadership-office/events-gallery/index,Student Affairs Events Gallery,nan,nan,nan
92,https://www.zu.ac.ae/main/en/student-leadership-office/student-sports,Sports Centers,nan,nan,nan
93,https://www.zu.ac.ae/main/en/student-leadership-office/student-centers,Student Center,nan,nan,nan
94,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/_unused/accountingClub/contact_us,Contact Us,nan,nan,nan
95,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/_unused/accountingClub/resources,Resources,nan,nan,nan
96,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/_unused/accountingClub/membership,Accounting Club Membership,nan,nan,nan
97,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/_unused/accountingClub/events,Upcoming Events,nan,nan,nan
98,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/_unused/accountingClub/photos,Photos,nan,nan,nan
99,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/_unused/accountingClub/whatWeDo,What we Do,nan,nan,nan
100,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/_unused/accountingClub/index,Introduction,nan,nan,nan
101,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/_unused/index,Zayed University Clubs,nan,nan,nan
102,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/list,List of Zayed University Clubs,nan,nan,nan
103,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/_about/yalsatna,Yalsatna Club,nan,nan,nan
104,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/_about/social,Social Awareness Club,nan,nan,nan
105,https://www.zu.ac.ae/main/en/student-leadership-office/student-clubs/_about/robotics,Robotics Club,nan,nan,nan
